A0A075B6H9	Immunoglobulin lambda variable 4-69
P53803	DNA-directed RNA polymerases I, II, and III subunit RPABC4
P53804	E3 ubiquitin-protein ligase TTC3
P53805	Calcipressin-1
P53814	Smoothelin
P53816	HRAS-like suppressor 3
P53985	Monocarboxylate transporter 1
P53990	IST1 homolog
P53992	Protein transport protein Sec24C
P53999	Activated RNA polymerase II transcriptional coactivator p15
P54098	DNA polymerase subunit gamma-1
P54105	Methylosome subunit pICln
P54107	Cysteine-rich secretory protein 1
P54108	Cysteine-rich secretory protein 3
P54132	Bloom syndrome protein
P54136	Arginine--tRNA ligase, cytoplasmic
P54198	Protein HIRA
P54219	Chromaffin granule amine transporter
P54252	Ataxin-3
P54253	Ataxin-1
P54257	Huntingtin-associated protein 1
P54259	Atrophin-1
P54274	Telomeric repeat-binding factor 1
P54277	PMS1 protein homolog 1
P54278	Mismatch repair endonuclease PMS2
P54284	Voltage-dependent L-type calcium channel subunit beta-3
P54289	Voltage-dependent calcium channel subunit alpha-2/delta-1
P54296	Myomesin-2
P54315	Inactive pancreatic lipase-related protein 1
P54317	Pancreatic lipase-related protein 2
P54368	Ornithine decarboxylase antizyme 1
P54577	Tyrosine--tRNA ligase, cytoplasmic
P54578	Ubiquitin carboxyl-terminal hydrolase 14
P54619	5'-AMP-activated protein kinase subunit gamma-1
P54646	5'-AMP-activated protein kinase catalytic subunit alpha-2
P54652	Heat shock-related 70 kDa protein 2
P54687	Branched-chain-amino-acid aminotransferase, cytosolic
P54707	Potassium-transporting ATPase alpha chain 2
P54709	Sodium/potassium-transporting ATPase subunit beta-3
P54710	Sodium/potassium-transporting ATPase subunit gamma
P54725	UV excision repair protein RAD23 homolog A
P54727	UV excision repair protein RAD23 homolog B
P54750	Calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1A
P54753	Ephrin type-B receptor 3
P54756	Ephrin type-A receptor 5
P54760	Ephrin type-B receptor 4
P54762	Ephrin type-B receptor 1
P54764	Ephrin type-A receptor 4
P54792	Putative segment polarity protein dishevelled homolog DVL1P1
P54793	Arylsulfatase F
P54802	Alpha-N-acetylglucosaminidase
P54803	Galactocerebrosidase
P54819	Adenylate kinase 2, mitochondrial
P54821	Paired mesoderm homeobox protein 1
P54826	Growth arrest-specific protein 1
P54829	Tyrosine-protein phosphatase non-receptor type 5
P54840	Glycogen [starch] synthase, liver
P54845	Neural retina-specific leucine zipper protein
P54849	Epithelial membrane protein 1
P54851	Epithelial membrane protein 2
P54852	Epithelial membrane protein 3
P54855	UDP-glucuronosyltransferase 2B15
P54868	Hydroxymethylglutaryl-CoA synthase, mitochondrial
P54886	Delta-1-pyrroline-5-carboxylate synthase
P54920	Alpha-soluble NSF attachment protein
P54922	[Protein ADP-ribosylarginine] hydrolase
P55000	Secreted Ly-6/uPAR-related protein 1
P55001	Microfibrillar-associated protein 2
P55008	Allograft inflammatory factor 1
P55010	Eukaryotic translation initiation factor 5
P55011	Solute carrier family 12 member 2
P55017	Solute carrier family 12 member 3
P55036	26S proteasome non-ATPase regulatory subunit 4
P55039	Developmentally-regulated GTP-binding protein 2
P55040	GTP-binding protein GEM
P55042	GTP-binding protein RAD
P55055	Oxysterols receptor LXR-beta
P55056	Apolipoprotein C-IV
P55058	Phospholipid transfer protein
P55060	Exportin-2
P55061	Bax inhibitor 1
P55064	Aquaporin-5
P55072	Transitional endoplasmic reticulum ATPase
P55073	Thyroxine 5-deiodinase
P55075	Fibroblast growth factor 8
P55081	Microfibrillar-associated protein 1
P55082	Microfibril-associated glycoprotein 3
P55083	Microfibril-associated glycoprotein 4
P55084	Trifunctional enzyme subunit beta, mitochondrial
P55085	Proteinase-activated receptor 2
P55087	Aquaporin-4
P55089	Urocortin
P55103	Inhibin beta C chain
P55107	Growth/differentiation factor 10
P55145	Mesencephalic astrocyte-derived neurotrophic factor
P55157	Microsomal triglyceride transfer protein large subunit
P55160	Nck-associated protein 1-like
P55196	Afadin
P55197	Protein AF-10
P55198	Protein AF-17
P55199	RNA polymerase II elongation factor ELL
P55201	Peregrin
P55209	Nucleosome assembly protein 1-like 1
P55210	Caspase-7
P55211	Caspase-9
P55212	Caspase-6
P55259	Pancreatic secretory granule membrane major glycoprotein GP2
P55263	Adenosine kinase
P55265	Double-stranded RNA-specific adenosine deaminase
P55268	Laminin subunit beta-2
P55273	Cyclin-dependent kinase 4 inhibitor D
P55283	Cadherin-4
P55285	Cadherin-6
P55286	Cadherin-8
P55287	Cadherin-11
P55289	Cadherin-12
P55290	Cadherin-13
P55291	Cadherin-15
P55316	Forkhead box protein G1
P55317	Hepatocyte nuclear factor 3-alpha
P55318	Hepatocyte nuclear factor 3-gamma
P55327	Tumor protein D52
P55344	Lens fiber membrane intrinsic protein
P55345	Protein arginine N-methyltransferase 2
P55347	Homeobox protein PKNOX1
P55735	Protein SEC13 homolog
P55769	NHP2-like protein 1
P55771	Paired box protein Pax-9
P55773	C-C motif chemokine 23
P55774	C-C motif chemokine 18
P55786	Puromycin-sensitive aminopeptidase
P55789	FAD-linked sulfhydryl oxidase ALR
P55795	Heterogeneous nuclear ribonucleoprotein H2
P55808	Glycoprotein Xg
P55809	Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial
P55822	SH3 domain-binding glutamic acid-rich protein
P55851	Mitochondrial uncoupling protein 2
P55854	Small ubiquitin-related modifier 3
P55884	Eukaryotic translation initiation factor 3 subunit B
P55895	V(D)J recombination-activating protein 2
P55899	IgG receptor FcRn large subunit p51
P55916	Mitochondrial uncoupling protein 3
P55957	BH3-interacting domain death agonist
P56134	ATP synthase subunit f, mitochondrial
P56159	GDNF family receptor alpha-1
P56177	Homeobox protein DLX-1
P56178	Homeobox protein DLX-5
P56179	Homeobox protein DLX-6
P56180	Putative tyrosine-protein phosphatase TPTE
P56181	NADH dehydrogenase [ubiquinone] flavoprotein 3, mitochondrial
P56182	Ribosomal RNA processing protein 1 homolog A
P56192	Methionine--tRNA ligase, cytoplasmic
P56199	Integrin alpha-1
P56202	Cathepsin W
P56211	cAMP-regulated phosphoprotein 19
P56270	Myc-associated zinc finger protein
P56277	Cx9C motif-containing protein 4
P56278	Protein p13 MTCP-1
P56279	T-cell leukemia/lymphoma protein 1A
P56282	DNA polymerase epsilon subunit 2
P56373	P2X purinoceptor 3
P56377	AP-1 complex subunit sigma-2
P56378	6.8 kDa mitochondrial proteolipid
P56381	ATP synthase subunit epsilon, mitochondrial
P56385	ATP synthase subunit e, mitochondrial
P56470	Galectin-4
P56524	Histone deacetylase 4
P56537	Eukaryotic translation initiation factor 6
P56539	Caveolin-3
P56545	C-terminal-binding protein 2
P56555	Down syndrome critical region protein 4
P56556	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6
P56557	Transmembrane protein 50B
P56559	ADP-ribosylation factor-like protein 4C
P56589	Peroxisomal biogenesis factor 3
P56597	Nucleoside diphosphate kinase homolog 5
P56645	Period circadian protein homolog 3
P56693	Transcription factor SOX-10
P56696	Potassium voltage-gated channel subfamily KQT member 4
P56703	Proto-oncogene Wnt-3
P56704	Protein Wnt-3a
P56705	Protein Wnt-4
P56706	Protein Wnt-7b
P56715	Oxygen-regulated protein 1
P56730	Neurotrypsin
P56746	Claudin-15
P56747	Claudin-6
P56748	Claudin-8
P56749	Claudin-12
P56750	Claudin-17
P56817	Beta-secretase 1
P56851	Epididymal secretory protein E3-beta
P56856	Claudin-18
P56880	Claudin-20
P56915	Homeobox protein goosecoid
P56937	3-keto-steroid reductase
P56945	Breast cancer anti-estrogen resistance protein 1
P56962	Syntaxin-17
P56975	Pro-neuregulin-3, membrane-bound isoform
P57052	Splicing regulator RBM11
P57053	Histone H2B type F-S
P57054	Phosphatidylinositol N-acetylglucosaminyltransferase subunit P
P57055	Protein ripply3
P57057	Glucose-6-phosphate exchanger SLC37A1
P57058	Hormonally up-regulated neu tumor-associated kinase
P57059	Serine/threonine-protein kinase SIK1
P57060	RWD domain-containing protein 2B
P57071	PR domain zinc finger protein 15
P57073	Transcription factor SOX-8
P57075	Ubiquitin-associated and SH3 domain-containing protein A
P57076	UPF0769 protein C21orf59
P57077	MAP3K7 C-terminal-like protein
P57078	Receptor-interacting serine/threonine-protein kinase 4
P57081	tRNA (guanine-N(7)-)-methyltransferase non-catalytic subunit WDR4
P57082	T-box transcription factor TBX4
P57086	SCAN domain-containing protein 1
P57087	Junctional adhesion molecule B
P57088	Transmembrane protein 33
P57103	Sodium/calcium exchanger 3
P57105	Synaptojanin-2-binding protein
P57678	Gem-associated protein 4
P57679	Ellis-van Creveld syndrome protein
P57682	Krueppel-like factor 3
P57721	Poly(rC)-binding protein 3
P57723	Poly(rC)-binding protein 4
P57727	Transmembrane protease serine 3
P57729	Ras-related protein Rab-38
P57730	Caspase recruitment domain-containing protein 18
P57735	Ras-related protein Rab-25
P57737	Coronin-7
P57738	T-cell leukemia translocation-altered gene protein
P57739	Claudin-2
P57740	Nuclear pore complex protein Nup107
P57764	Gasdermin-D
P57768	Sorting nexin-16
P57771	Regulator of G-protein signaling 8
P57772	Selenocysteine-specific elongation factor
P57773	Gap junction alpha-9 protein
P57775	F-box/WD repeat-containing protein 4
P57789	Potassium channel subfamily K member 10
P57796	Calcium-binding protein 4
P58004	Sestrin-2
P58005	Sestrin-3
P58012	Forkhead box protein L2
P58062	Serine protease inhibitor Kazal-type 7
P58107	Epiplakin
P58166	Inhibin beta E chain
P58170	Olfactory receptor 1D5
P58173	Olfactory receptor 2B6
P58180	Olfactory receptor 4D2
P58181	Olfactory receptor 10A3
P58182	Olfactory receptor 12D2
P58215	Lysyl oxidase homolog 3
P58294	Prokineticin-1
P58304	Visual system homeobox 2
P58317	Zinc finger protein 121
P58335	Anthrax toxin receptor 2
P58340	Myeloid leukemia factor 1
P58397	A disintegrin and metalloproteinase with thrombospondin motifs 12
P58417	Neurexophilin-1
P58418	Clarin-1
P58499	Protein FAM3B
P58505	Uncharacterized protein C21orf58
P58511	Small integral membrane protein 11A
P58512	Uncharacterized protein encoded by LINC01547
P58513	Putative uncharacterized protein encoded by LINC00158
P58546	Myotrophin
P58549	FXYD domain-containing ion transport regulator 7
P58550	Putative FXYD domain-containing ion transport regulator 8
P58557	Endoribonuclease YbeY
P58658	Protein eva-1 homolog C
P58743	Prestin
P58753	Toll/interleukin-1 receptor domain-containing adapter protein
P58872	Rhomboid-related protein 3
P58876	Histone H2B type 1-D
P59020	Down syndrome critical region protein 9
P59022	Down syndrome critical region protein 10
P59025	Receptor-transporting protein 1
P59036	Putative uncharacterized protein encoded by LINC00310
P59037	Putative uncharacterized protein encoded by LINC00313
P59044	NACHT, LRR and PYD domains-containing protein 6
P59045	NACHT, LRR and PYD domains-containing protein 11
P59046	NACHT, LRR and PYD domains-containing protein 12
P59047	NACHT, LRR and PYD domains-containing protein 5
P59051	Putative uncharacterized protein encoded by BRWD1-AS2
P59052	Putative uncharacterized protein B3GALT5-AS1
P59074	Putative charged multivesicular body protein 4B-like protein CHMP4BP1
P59089	Putative uncharacterized protein encoded by LINC00205
P59090	Putative uncharacterized protein TSPEAR-AS2
P59091	Putative uncharacterized protein encoded by LINC00315
P59095	StAR-related lipid transfer protein 6
P59103	D-amino acid oxidase activator
P59190	Ras-related protein Rab-15
P59282	Tubulin polymerization-promoting protein family member 2
P59510	A disintegrin and metalloproteinase with thrombospondin motifs 20
P59533	Taste receptor type 2 member 38
P59534	Taste receptor type 2 member 39
P59535	Taste receptor type 2 member 40
P59536	Taste receptor type 2 member 41
P59537	Taste receptor type 2 member 43
P59538	Taste receptor type 2 member 31
P59539	Taste receptor type 2 member 45
P59540	Taste receptor type 2 member 46
P59541	Taste receptor type 2 member 30
P59542	Taste receptor type 2 member 19
P59543	Taste receptor type 2 member 20
P59544	Taste receptor type 2 member 50
P59551	Taste receptor type 2 member 60
P59646	FXYD domain-containing ion transport regulator 4
P59665	Neutrophil defensin 1
P59666	Neutrophil defensin 3
P59768	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2
P59773	UPF0258 protein KIAA1024-like
P59780	AP-3 complex subunit sigma-2
P59796	Glutathione peroxidase 6
P59797	Selenoprotein V
P59817	Zinc finger protein 280A
P59826	BPI fold-containing family B member 3
P59827	BPI fold-containing family B member 4
P59861	Beta-defensin 131A
P59894	Doublecortin domain-containing protein 1
P59901	Leukocyte immunoglobulin-like receptor subfamily A member 4
P59910	DnaJ homolog subfamily B member 13
P59922	Putative olfactory receptor 2B8
P59923	Zinc finger protein 445
P59942	Mitochondrial coiled-coil domain protein 1
P59990	Keratin-associated protein 12-1
P59991	Keratin-associated protein 12-2
P59998	Actin-related protein 2/3 complex subunit 4
P60002	Transcription elongation factor 1 homolog
P60006	Anaphase-promoting complex subunit 15
P60008	Spermatid-specific linker histone H1-like protein
P60014	Keratin-associated protein 10-10
P60022	Beta-defensin 1
P60033	CD81 antigen
P60059	Protein transport protein Sec61 subunit gamma
P60153	Inactive ribonuclease-like protein 9
P60174	Triosephosphate isomerase
P60201	Myelin proteolipid protein
P60228	Eukaryotic translation initiation factor 3 subunit E
P60321	Nanos homolog 2
P60323	Nanos homolog 3
P60328	Keratin-associated protein 12-3
P60329	Keratin-associated protein 12-4
P60331	Keratin-associated protein 10-1
P60368	Keratin-associated protein 10-2
P60369	Keratin-associated protein 10-3
P60370	Keratin-associated protein 10-5
P60371	Keratin-associated protein 10-6
P60372	Keratin-associated protein 10-4
P60409	Keratin-associated protein 10-7
P60410	Keratin-associated protein 10-8
P60411	Keratin-associated protein 10-9
P60412	Keratin-associated protein 10-11
P60413	Keratin-associated protein 10-12
P60468	Protein transport protein Sec61 subunit beta
P60484	Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN
P60507	Endogenous retrovirus group FC1 Env polyprotein
P60508	Syncytin-2
P60509	Endogenous retrovirus group PABLB member 1 Env polyprotein
P60510	Serine/threonine-protein phosphatase 4 catalytic subunit
P60520	Gamma-aminobutyric acid receptor-associated protein-like 2
P60568	Interleukin-2
P60602	Reactive oxygen species modulator 1
P60604	Ubiquitin-conjugating enzyme E2 G2
P60606	Cortexin-1
P60608	Endogenous retrovirus group FC1 member 1 Env polyprotein
P60660	Myosin light polypeptide 6
P60673	Profilin-3
P60709	Actin, cytoplasmic 1
P60763	Ras-related C3 botulinum toxin substrate 3
P60827	Complement C1q tumor necrosis factor-related protein 8
P60842	Eukaryotic initiation factor 4A-I
P60852	Zona pellucida sperm-binding protein 1
P60866	40S ribosomal protein S20
P60880	Synaptosomal-associated protein 25
P60891	Ribose-phosphate pyrophosphokinase 1
P60893	Probable G-protein coupled receptor 85
P60900	Proteasome subunit alpha type-6
P60903	Protein S100-A10
P60953	Cell division control protein 42 homolog
P60981	Destrin
P60983	Glia maturation factor beta
P60985	Keratinocyte differentiation-associated protein
P61006	Ras-related protein Rab-8A
P61009	Signal peptidase complex subunit 3
P61011	Signal recognition particle 54 kDa protein
P61018	Ras-related protein Rab-4B
P61019	Ras-related protein Rab-2A
P61020	Ras-related protein Rab-5B
P61024	Cyclin-dependent kinases regulatory subunit 1
P61026	Ras-related protein Rab-10
P61073	C-X-C chemokine receptor type 4
P61077	Ubiquitin-conjugating enzyme E2 D3
P61081	NEDD8-conjugating enzyme Ubc12
P61086	Ubiquitin-conjugating enzyme E2 K
P61088	Ubiquitin-conjugating enzyme E2 N
P61106	Ras-related protein Rab-14
P61129	Zinc finger CCCH domain-containing protein 6
P61158	Actin-related protein 3
P61160	Actin-related protein 2
P61163	Alpha-centractin
P61165	Transmembrane protein 258
P61201	COP9 signalosome complex subunit 2
P61204	ADP-ribosylation factor 3
P61218	DNA-directed RNA polymerases I, II, and III subunit RPABC2
P61221	ATP-binding cassette sub-family E member 1
P61224	Ras-related protein Rap-1b
P61225	Ras-related protein Rap-2b
P61236	Protein yippee-like 3
P61244	Protein max
P61247	40S ribosomal protein S3a
P61254	60S ribosomal protein L26
P61266	Syntaxin-1B
P61278	Somatostatin
P61289	Proteasome activator complex subunit 3
P61296	Heart- and neural crest derivatives-expressed protein 2
P61313	60S ribosomal protein L15
P61326	Protein mago nashi homolog
P61328	Fibroblast growth factor 12
P61353	60S ribosomal protein L27
P61366	Osteocrin
P61371	Insulin gene enhancer protein ISL-1
P61421	V-type proton ATPase subunit d 1
P61457	Pterin-4-alpha-carbinolamine dehydratase
P61513	60S ribosomal protein L37a
P61550	Endogenous retrovirus group S71 member 1 Env polyprotein
P61565	Endogenous retrovirus group K member 21 Env polyprotein
P61568	Putative endogenous retrovirus group K member 11-1 Env polyprotein
P61574	Endogenous retrovirus group K member 113 Rec protein
P61576	Endogenous retrovirus group K member 104 Rec protein
P61578	Endogenous retrovirus group K member 16 Rec protein
P61586	Transforming protein RhoA
P61587	Rho-related GTP-binding protein RhoE
P61599	N-alpha-acetyltransferase 20
P61601	Neurocalcin-delta
P61604	10 kDa heat shock protein, mitochondrial
P61619	Protein transport protein Sec61 subunit alpha isoform 1
P61626	Lysozyme C
P61647	Alpha-2,8-sialyltransferase 8F
P61758	Prefoldin subunit 3
